LoincNumber,LongCommonName
43489-4,XR Finger second - left GE 3 Views
37522-0,XR Finger second - left Views
43494-4,XR Finger second - right GE 3 Views
38144-2,XR Finger second - right Views
36596-5,XR Finger second Lateral
36612-0,XR Finger second Oblique
30780-1,XR Finger second Views
37523-8,XR Finger third - bilateral Views
43490-2,XR Finger third - left GE 3 Views
37524-6,XR Finger third - left Views
43495-1,XR Finger third - right GE 3 Views
38145-9,XR Finger third - right Views
36578-3,XR Finger third AP
36597-3,XR Finger third Lateral
36613-8,XR Finger third Oblique
30781-9,XR Finger third Views
24706-4,XR Finger Views
36657-5,XR Foot - bilateral 2 Views
37068-4,XR Foot - bilateral 2 Views W standing
36306-9,XR Foot - bilateral 3 Views
36947-0,XR Foot - bilateral 3 Views W standing
36580-9,XR Foot - bilateral AP
36696-3,XR Foot - bilateral AP and Lateral
36729-2,XR Foot - bilateral AP and Lateral and oblique
39331-4,XR Foot - bilateral AP and Lateral W standing
48478-2,XR Foot - bilateral GE 3 Views
26127-1,XR Foot - bilateral Views
26094-3,XR Foot - bilateral Views W standing
38846-2,XR Foot - left 2 Views
37069-2,XR Foot - left 2 Views W standing
43499-3,XR Foot - left 3 or 4 Views
36307-7,XR Foot - left 3 Views
36948-8,XR Foot - left 3 Views W standing
36697-1,XR Foot - left AP and Lateral
36730-0,XR Foot - left AP and Lateral and oblique
39334-8,XR Foot - left AP and Lateral and oblique W standing
39332-2,XR Foot - left AP and Lateral W standing
48477-4,XR Foot - left GE 3 Views
36598-1,XR Foot - left Lateral
36615-3,XR Foot - left Oblique
69309-3,XR Foot - left Single view
26128-9,XR Foot - left Views
38003-0,XR Foot - left Views AP W standing
37559-2,XR Foot - left Views W manual stress
26095-0,XR Foot - left Views W standing
37697-0,XR Foot - right 2 Views
37698-8,XR Foot - right 2 Views W standing
43483-7,XR Foot - right 3 or 4 Views
37699-6,XR Foot - right 3 Views
37700-2,XR Foot - right 3 Views W standing
37701-0,XR Foot - right AP and Lateral
37702-8,XR Foot - right AP and Lateral and oblique
39375-1,XR Foot - right AP and Lateral and oblique W standing
39374-4,XR Foot - right AP and Lateral W standing
48476-6,XR Foot - right GE 3 Views
37703-6,XR Foot - right Lateral
37704-4,XR Foot - right Oblique
69316-8,XR Foot - right Single view
26129-7,XR Foot - right Views
38815-7,XR Foot - right Views AP W standing
37705-1,XR Foot - right Views W manual stress
26096-8,XR Foot - right Views W standing
83030-7,XR Foot 1 or 2 Views
30784-3,XR Foot 2 Views
36305-1,XR Foot 3 Views
79355-4,XR Foot 3 Views W standing
36579-1,XR Foot AP
39069-0,XR Foot AP and Lateral
36728-4,XR Foot AP and Lateral and oblique
39068-2,XR Foot AP and Lateral W standing
39076-5,XR Foot AP and Oblique
44188-1,XR Foot GE 3 Views
36976-9,XR Foot Harris
37001-5,XR Foot Lateral W standing
36614-6,XR Foot Oblique
42398-8,XR Foot Oblique and (AP and Lateral W standing)
42395-4,XR Foot sesamoid bones - bilateral Axial
42400-2,XR Foot sesamoid bones - bilateral Views
42396-2,XR Foot sesamoid bones - left Axial
43641-0,XR Foot sesamoid bones - left Views
42434-1,XR Foot sesamoid bones - right Views
42409-3,XR Foot sesamoid bones AP and Lateral
42399-6,XR Foot sesamoid bones Views
36561-9,XR Foot Single view
24709-8,XR Foot Views
30785-0,XR Foot Views W forced dorsiflexion
24708-0,XR Foot Views W standing
24713-0,XR Gallbladder Views 48H post contrast PO
37575-8,XR Gallbladder Views W contrast and fatty meal PO
24712-2,XR Gallbladder Views W contrast PO
42383-0,XR Gallbladder Views W contrast PO and W contrast PO
39149-0,XR Gastrointestinal tract and Pulmonary system Single view for foreign body
37532-9,XR Great toe - bilateral Views
37533-7,XR Great toe - left Views
37584-0,XR Great toe - left Views W standing
38152-5,XR Great toe - right Views
38810-8,XR Great toe - right Views W standing
46371-1,XR Guidance for change of percutaneous tube in Unspecified body region-- W contrast
26388-9,XR Hand - bilateral 2 Views
26379-8,XR Hand - bilateral 3 Views
48474-1,XR Hand - bilateral AP and Lateral
69057-8,XR Hand - bilateral AP and Lateral and oblique
26355-8,XR Hand - bilateral Arthritis
37471-0,XR Hand - bilateral Bora
36966-0,XR Hand - bilateral Brewerton
36600-5,XR Hand - bilateral Lateral
36622-9,XR Hand - bilateral PA
36752-4,XR Hand - bilateral PA and Lateral
37142-7,XR Hand - bilateral PA and Lateral and Ball Catcher
36756-5,XR Hand - bilateral PA and Lateral and Oblique
36629-4,XR Hand - bilateral Views
26389-7,XR Hand - left 2 Views
26380-6,XR Hand - left 3 Views
38847-0,XR Hand - left AP and Lateral
38848-8,XR Hand - left AP and Lateral and oblique
26356-6,XR Hand - left Arthritis
37472-8,XR Hand - left Bora
36967-8,XR Hand - left Brewerton
47370-2,XR Hand - left GE 3 Views
36601-3,XR Hand - left Lateral
41830-1,XR Hand - left Limited Views
36623-7,XR Hand - left PA
36753-2,XR Hand - left PA and Lateral
36757-3,XR Hand - left PA and Lateral and Oblique
69310-1,XR Hand - left Single view
36630-2,XR Hand - left Views
26390-5,XR Hand - right 2 Views
26381-4,XR Hand - right 3 Views
37710-1,XR Hand - right AP and Lateral
37711-9,XR Hand - right AP and Lateral and oblique
26357-4,XR Hand - right Arthritis
38804-1,XR Hand - right Bora
38775-3,XR Hand - right Brewerton
47371-0,XR Hand - right GE 3 Views
37712-7,XR Hand - right Lateral
41789-9,XR Hand - right Limited Views
37714-3,XR Hand - right PA
37713-5,XR Hand - right PA and Lateral
37715-0,XR Hand - right PA and Lateral and Oblique
69318-4,XR Hand - right Single view
37716-8,XR Hand - right Views
79356-2,XR Hand 1 or 2 Views
24721-3,XR Hand 2 Views
24722-1,XR Hand 3 Views
69130-3,XR Hand AP and Lateral
24723-9,XR Hand Arthritis
36965-2,XR Hand Ball Catcher
79357-0,XR Hand GE 3 Views
36599-9,XR Hand Lateral
36616-1,XR Hand Oblique
36621-1,XR Hand PA
36755-7,XR Hand PA and Lateral and Oblique
39079-9,XR Hand PA and Oblique
36563-5,XR Hand Single view
28582-5,XR Hand Views
69058-6,XR Hip - bilateral 2 Views
36308-5,XR Hip - bilateral 3 Views
36703-7,XR Hip - bilateral AP and Lateral
37092-4,XR Hip - bilateral AP and Lateral frog
79358-8,XR Hip - bilateral GE 4 Views
36982-7,XR Hip - bilateral Judet
36986-8,XR Hip - bilateral Lateral crosstable
36993-4,XR Hip - bilateral Lateral frog
36618-7,XR Hip - bilateral Oblique
26400-2,XR Hip - bilateral Single view
37059-3,XR Hip - bilateral Single view W standing
26130-5,XR Hip - bilateral Views
69059-4,XR Hip - bilateral Views and Lateral crosstable
36664-1,XR Hip - left 2 Views
36309-3,XR Hip - left 3 Views
36582-5,XR Hip - left AP
36704-5,XR Hip - left AP and Lateral
37087-4,XR Hip - left AP and Lateral crosstable
37093-2,XR Hip - left AP and Lateral frog
42404-4,XR Hip - left AP and Lateral Views for measurement
69141-0,XR Hip - left Danelius Miller
79359-6,XR Hip - left GE 2 Views
36983-5,XR Hip - left Judet
36603-9,XR Hip - left Lateral
36987-6,XR Hip - left Lateral crosstable
38066-7,XR Hip - left Lateral during surgery
36994-2,XR Hip - left Lateral frog
37545-1,XR Hip - left Oblique crosstable
26401-0,XR Hip - left Single view
38065-9,XR Hip - left Single view during surgery
37207-8,XR Hip - left Single view W standing
37040-3,XR Hip - left True lateral
26131-3,XR Hip - left Views
69140-2,XR Hip - left Views and Danelius Miller
69139-4,XR Hip - left Views and Lateral crosstable
37721-8,XR Hip - right 2 Views
37722-6,XR Hip - right 3 Views
37726-7,XR Hip - right AP
39512-9,XR Hip - right AP and Danelius Miller
37725-9,XR Hip - right AP and Lateral
37723-4,XR Hip - right AP and Lateral crosstable
37724-2,XR Hip - right AP and Lateral frog
39514-5,XR Hip - right Danelius Miller
79360-4,XR Hip - right GE 2 Views
37732-5,XR Hip - right Judet
37730-9,XR Hip - right Lateral
37727-5,XR Hip - right Lateral crosstable
38819-9,XR Hip - right Lateral during surgery
37729-1,XR Hip - right Lateral frog
37728-3,XR Hip - right Oblique crosstable
26402-8,XR Hip - right Single view
38818-1,XR Hip - right Single view during surgery
37731-7,XR Hip - right Single view W standing
38772-0,XR Hip - right True lateral
26132-1,XR Hip - right Views
39513-7,XR Hip - right Views and Danelius Miller
39377-7,XR Hip - right Views and Lateral crosstable
36663-3,XR Hip 2 Views
36581-7,XR Hip AP
36702-9,XR Hip AP and Lateral
37086-6,XR Hip AP and Lateral crosstable
37091-6,XR Hip AP and Lateral frog
69132-9,XR Hip Danelius Miller
36973-6,XR Hip Friedman
79361-2,XR Hip GE 2 Views
83032-3,XR Hip GE 2 Views preoperative
36981-9,XR Hip Judet
36602-1,XR Hip Lateral
36985-0,XR Hip Lateral crosstable
30786-8,XR Hip Lateral frog
36617-9,XR Hip Oblique
24761-9,XR Hip Single view
83033-1,XR Hip single view during surgery
37039-5,XR Hip True lateral
24762-7,XR Hip Views
69131-1,XR Hip Views and Danelius Miller
47372-8,XR Hip Views during surgery
37049-4,XR Hip Von Rosen
26391-3,XR Humerus - bilateral 2 Views
36707-8,XR Humerus - bilateral AP and Lateral
37032-0,XR Humerus - bilateral Transthoracic
37062-7,XR Humerus - bilateral Views
26392-1,XR Humerus - left 2 Views
36708-6,XR Humerus - left AP and Lateral
36744-1,XR Humerus - left Oblique Views
69312-7,XR Humerus - left Single view
37033-8,XR Humerus - left Transthoracic
36632-8,XR Humerus - left Views
26393-9,XR Humerus - right 2 Views
37736-6,XR Humerus - right AP and Lateral
37737-4,XR Humerus - right Oblique Views
69320-0,XR Humerus - right Single view
38007-1,XR Humerus - right Transthoracic
37738-2,XR Humerus - right Views
24765-0,XR Humerus 2 Views
36706-0,XR Humerus AP and Lateral
37485-0,XR Humerus AP and Transthoracic
37321-7,XR Humerus bicipital groove - bilateral Views
37320-9,XR Humerus bicipital groove - left Views
38797-7,XR Humerus bicipital groove - right Views
37319-1,XR Humerus bicipital groove Views
79362-0,XR Humerus GE 2 Views
36565-0,XR Humerus Single view
42008-3,XR Humerus Single view during surgery
37031-2,XR Humerus Transthoracic
28567-6,XR Humerus Views
36628-6,XR Internal auditory canal Views
43480-3,XR Joint Lateral Views W manual stress
30787-6,XR Joint Single view
43481-1,XR Joint Views W flexion and W extension
24778-3,XR Kidney - bilateral 3 Serial Views WO and W contrast IV
24788-2,XR Kidney - bilateral Views W contrast IV
37137-7,XR Kidney Limited Views W contrast IV
43485-2,XR Kidney Views during surgery W contrast retrograde
38101-2,XR Kidney Views W contrast antegrade
38102-0,XR Kidney Views W contrast antegrade via pyelostomy
37607-9,XR Kidney Views W contrast IV
38105-3,XR Kidney Views W contrast retrograde
26394-7,XR Knee - bilateral 2 Views
69060-2,XR Knee - bilateral 2 Views and Sunrise
69061-0,XR Knee - bilateral 2 Views and Tunnel
36945-4,XR Knee - bilateral 2 Views W standing
36310-1,XR Knee - bilateral 3 Views
36325-9,XR Knee - bilateral 4 Views
69063-6,XR Knee - bilateral 4 Views and Sunrise and Tunnel
69062-8,XR Knee - bilateral 4 Views W standing
36678-1,XR Knee - bilateral 6 Views
36682-3,XR Knee - bilateral 8 Views
36585-8,XR Knee - bilateral AP
36590-8,XR Knee - bilateral AP and Lateral
79363-8,XR Knee - bilateral AP and Lateral and Merchants and (Views W standing)
36732-6,XR Knee - bilateral AP and Lateral and oblique
37102-1,XR Knee - bilateral AP and Lateral and Oblique and Sunrise
37118-7,XR Knee - bilateral AP and Lateral and Oblique and Sunrise and Tunnel
37107-0,XR Knee - bilateral AP and Lateral and Sunrise
37116-1,XR Knee - bilateral AP and Lateral and Sunrise and tunnel
37113-8,XR Knee - bilateral AP and Lateral and Tunnel
26364-0,XR Knee - bilateral AP and Lateral W standing
26361-6,XR Knee - bilateral AP and PA W standing
26358-2,XR Knee - bilateral AP W standing
44197-2,XR Knee - bilateral GE 5 Views W standing
37540-2,XR Knee - bilateral Holmblad Views W standing
36605-4,XR Knee - bilateral Lateral
36999-1,XR Knee - bilateral Lateral W extension
26283-2,XR Knee - bilateral Merchants
36745-8,XR Knee - bilateral Oblique Views
46378-6,XR Knee - bilateral PA Views W standing and W flexion
37020-5,XR Knee - bilateral Rosenberg W standing
36566-8,XR Knee - bilateral Single view
37027-0,XR Knee - bilateral Sunrise
38088-1,XR Knee - bilateral Sunrise 20 and 40 and 60 degrees
69064-4,XR Knee - bilateral Sunrise and (Views W standing)
37163-3,XR Knee - bilateral Sunrise and Tunnel
37041-1,XR Knee - bilateral Tunnel
36635-1,XR Knee - bilateral Views
51387-9,XR Knee - bilateral Views and (AP W standing)
37561-8,XR Knee - bilateral Views W manual stress
26085-1,XR Knee - bilateral Views W standing
47373-6,XR Knee - left 1 or 2 Views
38871-0,XR Knee - left 2 Oblique Views
26395-4,XR Knee - left 2 Views
69143-6,XR Knee - left 2 views and (Tunnel W standing)
69142-8,XR Knee - left 2 Views and Sunrise
41819-4,XR Knee - left 2 Views and Tunnel
38851-2,XR Knee - left 2 Views W standing
36311-9,XR Knee - left 3 Views
36326-7,XR Knee - left 4 Views
69144-4,XR Knee - left 4 views and (AP W standing)
69145-1,XR Knee - left 4 views and Tunnel
38852-0,XR Knee - left 4 Views W standing
36676-5,XR Knee - left 5 Views
48462-6,XR Knee - left AP
36710-2,XR Knee - left AP and Lateral
36733-4,XR Knee - left AP and Lateral and oblique
69147-7,XR Knee - left AP and Lateral and Right oblique and Left oblique
37108-8,XR Knee - left AP and Lateral and Sunrise
37117-9,XR Knee - left AP and Lateral and Sunrise and tunnel
37114-6,XR Knee - left AP and Lateral and Tunnel
69146-9,XR Knee - left AP and Lateral crosstable
26365-7,XR Knee - left AP and Lateral W standing
26362-4,XR Knee - left AP and PA W standing
26359-0,XR Knee - left AP W standing
43498-5,XR Knee - left GE 3 Views
47374-4,XR Knee - left GE 4 Views
36606-2,XR Knee - left Lateral
37000-7,XR Knee - left Lateral W extension
37002-3,XR Knee - left Lateral W standing
26284-0,XR Knee - left Merchants
36746-6,XR Knee - left Oblique Views
37014-8,XR Knee - left PA W standing
37019-7,XR Knee - left Rosenberg W standing
36567-6,XR Knee - left Single view
43779-8,XR Knee - left Sunrise
38087-3,XR Knee - left Sunrise 20 and 40 and 60 degrees
39345-4,XR Knee - left Sunrise and (Tunnel W standing)
69149-3,XR Knee - left Sunrise and (Views W standing)
37156-7,XR Knee - left Sunrise and Tunnel
37042-9,XR Knee - left Tunnel
37043-7,XR Knee - left Tunnel W standing
36636-9,XR Knee - left Views
69148-5,XR Knee - left Views and Tunnel
37484-3,XR Knee - left Views AP W manual stress
37562-6,XR Knee - left Views W manual stress
26086-9,XR Knee - left Views W standing
47375-1,XR Knee - right 1 or 2 Views
38108-7,XR Knee - right 2 Oblique Views
26396-2,XR Knee - right 2 Views
39382-7,XR Knee - right 2 views and (Tunnel W standing)
42430-9,XR Knee - right 2 views and (Views W standing)
39378-5,XR Knee - right 2 Views and Oblique
39379-3,XR Knee - right 2 Views and Sunrise
39380-1,XR Knee - right 2 Views and Sunrise and Tunnel
39381-9,XR Knee - right 2 Views and Tunnel
37762-2,XR Knee - right 2 Views W standing
37742-4,XR Knee - right 3 Views
39383-5,XR Knee - right 3 Views and Sunrise
37743-2,XR Knee - right 4 Views
39384-3,XR Knee - right 4 views and (AP W standing)
39385-0,XR Knee - right 4 Views and Oblique
39387-6,XR Knee - right 4 Views and Sunrise and Tunnel
39386-8,XR Knee - right 4 views and Tunnel
37763-0,XR Knee - right 4 Views W standing
37744-0,XR Knee - right 5 Views
48463-4,XR Knee - right AP
37745-7,XR Knee - right AP and Lateral
37748-1,XR Knee - right AP and Lateral and oblique
39388-4,XR Knee - right AP and Lateral and Right oblique and Left oblique
37749-9,XR Knee - right AP and Lateral and Sunrise
37740-8,XR Knee - right AP and Lateral and Sunrise and tunnel
37747-3,XR Knee - right AP and Lateral and Tunnel
26366-5,XR Knee - right AP and Lateral W standing
26363-2,XR Knee - right AP and PA W standing
26360-8,XR Knee - right AP W standing
43482-9,XR Knee - right GE 3 Views
47376-9,XR Knee - right GE 4 Views
37751-5,XR Knee - right Lateral
37750-7,XR Knee - right Lateral W extension
37754-9,XR Knee - right Lateral W standing
47377-7,XR Knee - right LE 4 Views
26285-7,XR Knee - right Merchants
37757-2,XR Knee - right Oblique Views
42431-7,XR Knee - right PA 30 degree flexion W standing
37755-6,XR Knee - right PA W standing
37752-3,XR Knee - right Rosenberg W standing
37741-6,XR Knee - right Single view
69256-6,XR Knee - right Sunrise
38824-9,XR Knee - right Sunrise 20 and 40 and 60 degrees
69255-8,XR Knee - right Sunrise and (Tunnel W standing)
42432-5,XR Knee - right Sunrise and (Views W standing)
37759-8,XR Knee - right Sunrise and Tunnel
37761-4,XR Knee - right Tunnel
37756-4,XR Knee - right Tunnel W standing
37758-0,XR Knee - right Views
39390-0,XR Knee - right Views and Oblique
39391-8,XR Knee - right Views and Sunrise
39389-2,XR Knee - right Views and Tunnel
37746-5,XR Knee - right Views AP W manual stress
37753-1,XR Knee - right Views W manual stress
26087-7,XR Knee - right Views W standing
42405-1,XR Knee (AP W standing) and (Lateral W extension)
44198-0,XR Knee 1 or 2 Views
83035-6,XR Knee 1 or 2 Views during surgery
24806-2,XR Knee 2 Views
30788-4,XR Knee 3 Views
30789-2,XR Knee 4 Views
36584-1,XR Knee AP
36709-4,XR Knee AP and Lateral
39071-6,XR Knee AP and Lateral and Merchants
37115-3,XR Knee AP and Lateral and Oblique and Tunnel
39073-2,XR Knee AP and Lateral and Right oblique and Left oblique
37106-2,XR Knee AP and Lateral and Sunrise
37111-2,XR Knee AP and Lateral and Sunrise and tunnel
37112-0,XR Knee AP and Lateral and Tunnel
37090-8,XR Knee AP and Lateral crosstable
24805-4,XR Knee AP and Lateral W standing
24808-8,XR Knee AP and PA W standing
24807-0,XR Knee AP W standing
79364-6,XR Knee GE 4 Views
44195-6,XR Knee GE 5 Views
36978-5,XR Knee Holmblad
36604-7,XR Knee Lateral
36988-4,XR Knee Lateral crosstable
37004-9,XR Knee Laurin
24801-3,XR Knee Merchants
38086-5,XR Knee Merchants 30 and 45 and 60 degrees
37154-2,XR Knee Oblique and Sunrise
37155-9,XR Knee Oblique and Sunrise and Tunnel
36619-5,XR Knee Oblique Views
37476-9,XR Knee PA 45 degree flexion
37477-7,XR Knee PA 45 degree flexion W standing
37018-9,XR Knee Rosenberg W standing
43780-6,XR Knee Sunrise
69136-0,XR Knee Sunrise and Tunnel
30790-0,XR Knee Tunnel
28565-0,XR Knee Views
37560-0,XR Knee Views W manual stress
24809-6,XR Knee Views W standing
39518-6,XR Long bones Limited Survey Views
24579-5,XR Long bones Survey Views
44177-4,XR Lower extremity - bilateral AP W standing
36557-7,XR Lower extremity - bilateral Single view
44205-3,XR Lower extremity - bilateral Single view W standing
26112-3,XR Lower extremity - bilateral Views
38849-6,XR Lower extremity - left AP W standing
36558-5,XR Lower extremity - left Single view
38850-4,XR Lower extremity - left Single view W standing
26113-1,XR Lower extremity - left Views
69257-4,XR Lower extremity - right 2 Views
69258-2,XR Lower extremity - right AP and Lateral
37733-3,XR Lower extremity - right AP W standing
37764-8,XR Lower extremity - right Single view
37734-1,XR Lower extremity - right Single view W standing
26114-9,XR Lower extremity - right Views
36651-8,XR Lower extremity 2 Views
36574-2,XR Lower extremity AP
36692-2,XR Lower extremity AP and Lateral
83036-4,XR Lower extremity GE 2 Views
24686-8,XR Lower extremity Views
37204-5,XR Lower extremity Views W standing
42411-9,XR Lumbar spine (AP^W R-bending and W L-bending) and (Lateral^W flexion and W extension)
48469-1,XR Lumbar spine 2 or 3 Views
36670-8,XR Lumbar spine 2 Views
36946-2,XR Lumbar spine 2 Views W standing
30775-1,XR Lumbar spine 3 Views
36949-6,XR Lumbar spine 3 Views W standing
36332-5,XR Lumbar spine 4 Views
30797-5,XR Lumbar spine 5 Views
39063-3,XR Lumbar spine 5 Views W flexion and W extension
37073-4,XR Lumbar spine 5 Views W standing
36681-5,XR Lumbar spine 7 Views
37261-5,XR Lumbar spine and Sacrum and SI joint and Coccyx 3 Views
37357-1,XR Lumbar spine and Sacrum and SI joint and Coccyx 5 Views
37342-3,XR Lumbar spine and Sacrum and SI joint and Coccyx Views
30777-7,XR Lumbar spine AP
24970-6,XR Lumbar spine AP and Lateral
36735-9,XR Lumbar spine AP and Lateral and oblique
37101-3,XR Lumbar spine AP and Lateral and Oblique and Spot
42410-1,XR Lumbar spine AP and Lateral and Oblique and Spot W standing
37105-4,XR Lumbar spine AP and Lateral and Spot
39333-0,XR Lumbar spine AP and Lateral W standing
42378-0,XR Lumbar spine AP W left bending
42379-8,XR Lumbar spine AP W right bending
47382-7,XR Lumbar spine GE 4 Views
44196-4,XR Lumbar spine GE 5 Views W right bending and W left bending
83038-0,XR Lumbar spine Greater than 4 views and (Greater than 1 view W R-bending and W L-bending)
24969-8,XR Lumbar spine Lateral
36990-0,XR Lumbar spine Lateral crosstable
37132-8,XR Lumbar spine Lateral Views W flexion and W extension
39340-5,XR Lumbar spine Lateral Views W standing and W flexion and W extension
37003-1,XR Lumbar spine Lateral W standing
37009-8,XR Lumbar spine Left oblique
42401-0,XR Lumbar spine Lumbar (AP W R-bending and W L-bending and WO bending) and Lateral
30778-5,XR Lumbar spine Oblique
44178-2,XR Lumbar spine oblique and (views W right bending and W left bending)
43791-3,XR Lumbar spine Oblique Views
37011-4,XR Lumbar spine Right oblique
30773-6,XR Lumbar spine Single view
83037-2,XR Lumbar spine Single view during surgery
24972-2,XR Lumbar spine Views
42163-6,XR Lumbar spine Views and Oblique
42406-9,XR Lumbar spine Views AP W and WO left bending
42407-7,XR Lumbar spine Views AP W and WO right bending
42403-6,XR Lumbar spine Views AP W right bending and W left bending
42408-5,XR Lumbar spine Views AP W right bending and W left bending and WO bending
24971-4,XR Lumbar spine Views W flexion and W extension
42413-5,XR Lumbar spine Views W right bending and W left bending
37208-6,XR Lumbar spine Views W standing
30813-0,XR Lung - bilateral Views W contrast intrabronchial
64996-2,XR Lung - left Views W contrast intrabronchial
64997-0,XR Lung - right Views W contrast intrabronchial
24825-2,XR Lung Views W contrast intrabronchial
43521-4,XR Mandible 1 or 2 Views
36312-7,XR Mandible 3 Views
36327-5,XR Mandible 4 Views
36711-0,XR Mandible AP and Lateral
47379-3,XR Mandible GE 4 Views
47380-1,XR Mandible LE 3 Views
36738-3,XR Mandible Limited Views
36747-4,XR Mandible Oblique Views
36754-0,XR Mandible PA and Lateral
37148-4,XR Mandible PA and Lateral and Oblique and Towne
24829-4,XR Mandible Views
47983-2,XR Mastoid - bilateral 1 or 2 Views
83039-8,XR Mastoid - bilateral GE 3 Views
37541-0,XR Mastoid - bilateral Law and Mayer and Stenver and Towne
42007-5,XR Mastoid - bilateral Limited Views
26139-6,XR Mastoid - bilateral Views
48489-9,XR Mastoid - left 1 or 2 Views
48470-9,XR Mastoid - left 3 Views
26140-4,XR Mastoid - left Views
48488-1,XR Mastoid - right 1 or 2 Views
48471-7,XR Mastoid - right 3 Views
26141-2,XR Mastoid - right Views
36838-1,XR Mastoid 3 Views
36839-9,XR Mastoid 4 Views
36890-2,XR Mastoid 5 Views
47381-9,XR Mastoid GE 3 Views
36893-6,XR Mastoid Limited Views
37153-4,XR Mastoid Stenver and Arcelin
24830-2,XR Mastoid Views
36637-7,XR Maxilla Views
37604-6,XR Nasal bones 3 Views
37605-3,XR Nasal bones Lateral and Waters
24834-4,XR Nasal bones Views
38118-6,XR Neck 2 Lateral Views
42439-0,XR Neck AP
42438-2,XR Neck AP and Lateral
24843-5,XR Neck Lateral
42441-6,XR Neck Magnification
37639-2,XR Neck Views
37332-4,XR Olecranon - left Views
38798-5,XR Olecranon - right Views
26142-0,XR Optic foramen - bilateral Views
26143-8,XR Optic foramen - left Views
26144-6,XR Optic foramen - right Views
37609-5,XR Optic foramen 4 Views
24846-8,XR Optic foramen Views
37612-9,XR Orbit - bilateral 4 Views
48747-0,XR Orbit - bilateral GE 4 Views
24854-2,XR Orbit - bilateral Views
30720-7,XR Orbit - bilateral Views for foreign body
37613-7,XR Orbit - bilateral Waters
36887-8,XR Orbit - left Views
42311-1,XR Orbit - left Views for foreign body
38774-6,XR Orbit - right Views
42312-9,XR Orbit - right Views for foreign body
43529-7,XR Orbit and Facial bones Views
36886-0,XR Orbit Views
44208-7,XR Orbit Views for foreign body
26397-0,XR Patella - bilateral 2 Views
36712-8,XR Patella - bilateral AP and Lateral
37109-6,XR Patella - bilateral AP and Lateral and Sunrise
69069-3,XR Patella - bilateral Sunrise
36638-5,XR Patella - bilateral Views
26398-8,XR Patella - left 2 Views
36713-6,XR Patella - left AP and Lateral
37110-4,XR Patella - left AP and Lateral and Sunrise
37149-2,XR Patella - left PA and Lateral and Sunrise
69152-7,XR Patella - left Single view
36639-3,XR Patella - left Views
26399-6,XR Patella - right 2 Views
69261-6,XR Patella - right 3 Views
37776-2,XR Patella - right AP and Lateral
38786-0,XR Patella - right AP and Lateral and Sunrise
38790-2,XR Patella - right PA and Lateral and Sunrise
69260-8,XR Patella - right Single view
37777-0,XR Patella - right Views
24861-7,XR Patella 2 Views
37614-5,XR Patella Single view
69239-2,XR Patella Sunrise
30791-8,XR Patella Views
43522-2,XR Pelvis 1 or 2 Views
37617-8,XR Pelvis 2 Views
30766-0,XR Pelvis 3 Views
42167-7,XR Pelvis and Hip - bilateral AP and Lateral frog
83034-9,XR Pelvis and Hip - bilateral GE 2 views for pediatrics
30769-4,XR Pelvis and Hip - bilateral Maximum abduction Views
30768-6,XR Pelvis and Hip - bilateral Views
37583-2,XR Pelvis and Hip - bilateral Views and Lateral frog
42685-8,XR Pelvis and Hip - left 2 Views
37088-2,XR Pelvis and Hip - left AP and Lateral crosstable
37094-0,XR Pelvis and Hip - left AP and Lateral frog
36631-0,XR Pelvis and Hip - left Views
42686-6,XR Pelvis and Hip - right 2 Views
38784-5,XR Pelvis and Hip - right AP and Lateral crosstable
38785-2,XR Pelvis and Hip - right AP and Lateral frog
38771-2,XR Pelvis and Hip - right Views
36705-2,XR Pelvis and Hip AP and Lateral
37089-0,XR Pelvis and Hip AP and Lateral crosstable
30770-2,XR Pelvis and Hip AP and Lateral frog
30767-8,XR Pelvis and Hip Views
37256-5,XR Pelvis and Spine Lumbar 3 Views
37351-4,XR Pelvis and Spine Lumbar 5 Views
47984-0,XR Pelvis and Spine Lumbar Views
37622-8,XR Pelvis AP
37634-3,XR Pelvis AP 20 degree cephalic angle
83031-5,XR Pelvis AP and Hip - bilateral GE 2 Views
37618-6,XR Pelvis AP and Inlet
37623-6,XR Pelvis AP and Inlet and Outlet
39065-8,XR Pelvis AP and Inlet and Outlet and Oblique
37619-4,XR Pelvis AP and Judet
37620-2,XR Pelvis AP and Lateral
37624-4,XR Pelvis AP and Lateral and oblique
37621-0,XR Pelvis AP and Oblique
42420-0,XR Pelvis AP W standing
37625-1,XR Pelvis Ferguson
43543-8,XR Pelvis GE 3 Views
37628-5,XR Pelvis Inlet
30771-0,XR Pelvis Inlet and Outlet
37627-7,XR Pelvis Inlet and Outlet and Oblique
37629-3,XR Pelvis Lateral
37626-9,XR Pelvis Lateral frog
37630-1,XR Pelvis Oblique Views
37631-9,XR Pelvis Outlet
24871-6,XR Pelvis Pelvimetry
37616-0,XR Pelvis Single view
37633-5,XR Pelvis Single view W standing
30885-8,XR Pelvis symphysis pubis Views
28561-9,XR Pelvis Views
39360-3,XR Pelvis Views and Inlet and Outlet
39511-1,XR Pelvis Views and Oblique
24745-2,XR Petrous part of temporal bone Views
36659-1,XR Radius and Ulna - bilateral 2 Views
36699-7,XR Radius and Ulna - bilateral AP and Lateral
36742-5,XR Radius and Ulna - bilateral Oblique Views
26146-1,XR Radius and Ulna - bilateral Views
36660-9,XR Radius and Ulna - left 2 Views
