         3094082 function calls (3033718 primitive calls) in 4.473 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3075    0.001    0.000    0.016    0.000 valuerep.py:408(validate_value)
     8933    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2673    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     3051    0.001    0.000    0.009    0.000 valuerep.py:150(validate_regex)
       48    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
4182/3575    0.001    0.000    0.002    0.000 typing.py:1285(__hash__)
     3146    0.001    0.000    0.013    0.000 _ops.py:967(<genexpr>)
      936    0.001    0.000    0.003    0.000 _ops.py:990(_schemas)
     2975    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
     2053    0.001    0.000    0.002    0.000 inspect.py:911(getfile)
     1710    0.001    0.000    0.017    0.000 inspect.py:976(getabsfile)
      277    0.001    0.000    0.006    0.000 inspect.py:3293(__str__)
     6242    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1696    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     8042    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      329    0.001    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
     7539    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     5605    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        8    0.001    0.000    0.002    0.000 inspect.py:569(_getmembers)
  1082/84    0.001    0.000    0.846    0.010 {built-in method builtins.__import__}
     3022    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1604    0.001    0.000    0.073    0.000 <frozen posixpath>:423(realpath)
 1331/307    0.001    0.000    0.002    0.000 pprint.py:554(_safe_repr)
     4698    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2648    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
     3367    0.001    0.000    0.009    0.000 uid.py:228(is_valid)
    12428    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7932    0.001    0.000    0.002    0.000 _ops.py:674(__hash__)
      740    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
       65    0.001    0.000    0.014    0.000 appearance_mode_tracker.py:80(update)
     4082    0.001    0.000    0.022    0.000 typing.py:730(<genexpr>)
1616/1554    0.001    0.000    0.002    0.000 typing.py:1600(__hash__)
      323    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      241    0.001    0.000    0.001    0.000 {built-in method torch.parse_schema}
      342    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     8937    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
     5915    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
     2579    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
     5991    0.001    0.000    0.002    0.000 inspect.py:958(<genexpr>)
     6379    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      876    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
      684    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
